[08-07 09:48:18]	 UDP IP:192.168.0.201, Remote PORT:5000, Local PORT:5109 UDP Open [OK]
[08-07 09:48:22]	 아스키 프로토콜 [FAIL] ![000Hello world!]
[08-07 09:48:22]	 UDP IP:192.168.0.201, Local PORT:5109 UDP Close : [OK]
[08-07 14:15:34]	 UDP IP:192.168.0.201, Remote PORT:5000, Local PORT:5109 UDP Open [OK]
[08-07 14:15:36]	 UDP IP:192.168.0.201, Local PORT:5109 UDP Close : [OK]
[08-07 14:15:36]	 UDP IP:192.168.0.201, Remote PORT:5000, Local PORT:5109 UDP Open [OK]
[08-07 14:15:40]	 아스키 프로토콜 [FAIL] ![00330!]
[08-07 14:15:40]	 UDP IP:192.168.0.201, Local PORT:5109 UDP Close : [OK]
[08-07 14:15:40]	 아스키 프로토콜 [FAIL] ![00330!]
[08-07 14:15:40]	 UDP IP:192.168.0.201, Local PORT:5109 UDP Close : [OK]
[08-07 14:25:15]	 UDP IP:192.168.0.201, Remote PORT:5000, Local PORT:5109 UDP Open [OK]
[08-07 14:25:20]	 아스키 프로토콜 [FAIL] ![0032/P0000/D9901/F0003/E0101/S2002/X0000/Y0000/B000/C3/G0/T0!]
[08-07 14:25:20]	 UDP IP:192.168.0.201, Local PORT:5109 UDP Close : [OK]
[08-07 14:25:34]	 UDP IP:192.168.0.201, Local PORT:5109 UDP Close : [OK]
[08-07 14:25:34]	 UDP IP:192.168.0.201, Remote PORT:5000, Local PORT:5109 UDP Open [OK]
[08-07 14:25:41]	 아스키 프로토콜 [FAIL] ![000/C1Hello /C2World!]
[08-07 14:25:41]	 UDP IP:192.168.0.201, Local PORT:5109 UDP Close : [OK]
[08-07 14:25:42]	 UDP IP:192.168.0.201, Local PORT:5109 UDP Close : [OK]
[08-07 14:25:42]	 UDP IP:192.168.0.201, Remote PORT:5000, Local PORT:5109 UDP Open [OK]
[08-07 14:25:46]	 아스키 프로토콜 [FAIL] ![00330!]
[08-07 14:25:46]	 UDP IP:192.168.0.201, Local PORT:5109 UDP Close : [OK]
