[08-09 09:04:23]	 COM1 Close [OK]
[08-09 09:12:34]	 COM1 Close [OK]
[08-09 09:12:36]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:12:38]	 COM4 Close [OK]
[08-09 09:12:38]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:12:38]	 DABIT Connecting... [OK] 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
                	 Receive : 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
[08-09 09:12:38]	 COM4 Close [OK]
[08-09 09:12:40]	 COM4 Close [OK]
[08-09 09:12:40]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:12:40]	 컨트롤러 시간 읽기 [OK] ![0031!]
                	 Receive : ![00317001014000015!]
[08-09 09:12:40]	 COM4 Close [OK]
[08-09 09:12:41]	 COM4 Close [OK]
[08-09 09:12:41]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:12:41]	 PC 시간으로 동기화 [OK] ![00302408095091241!]
                	 Receive : ![00300!]
[08-09 09:12:41]	 COM4 Close [OK]
[08-09 09:12:43]	 COM4 Close [OK]
[08-09 09:12:43]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:12:43]	 컨트롤러 시간 읽기 [OK] ![0031!]
                	 Receive : ![00312408095091242!]
[08-09 09:12:43]	 COM4 Close [OK]
[08-09 09:12:45]	 COM4 Close [OK]
[08-09 09:12:45]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:12:45]	 아스키 프로토콜 [OK] ![000Hello world!]
                	 Receive : ![0000!]
[08-09 09:12:45]	 COM4 Close [OK]
[08-09 09:12:49]	 COM4 Close [OK]
[08-09 09:12:49]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:12:49]	 아스키 프로토콜 [OK] ![000Hello world!]
                	 Receive : ![0000!]
[08-09 09:12:49]	 COM4 Close [OK]
[08-09 09:12:55]	 COM4 Close [OK]
[08-09 09:12:55]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:12:55]	 아스키 프로토콜 [OK] ![000/C1Hello /C2World!]
                	 Receive : ![0000!]
[08-09 09:12:55]	 COM4 Close [OK]
[08-09 09:15:45]	 COM4 Close [OK]
[08-09 09:15:46]	 COM4 Close [OK]
[08-09 09:15:50]	 COM4 : 9,600bps, 8, 1, N - ComPort Open [OK]
[08-09 09:15:50]	 COM4 Close [OK]
[08-09 09:15:50]	 COM4 : 19,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:15:51]	 COM4 Close [OK]
[08-09 09:15:51]	 COM4 : 38,400bps, 8, 1, N - ComPort Open [OK]
[08-09 09:15:51]	 COM4 Close [OK]
[08-09 09:15:51]	 COM4 : 57,600bps, 8, 1, N - ComPort Open [OK]
[08-09 09:15:52]	 COM4 Close [OK]
[08-09 09:15:52]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:15:52]	 COM4 : 115200bps ComPort Search [Success]
[08-09 09:15:53]	 COM4 Close [OK]
[08-09 09:16:08]	 COM1 Close [OK]
[08-09 09:16:08]	 COM1 Close [OK]
[08-09 09:16:09]	 COM1 Close [OK]
[08-09 09:16:09]	 COM4 : 9,600bps, 8, 1, N - ComPort Open [OK]
[08-09 09:16:10]	 COM4 Close [OK]
[08-09 09:16:10]	 COM4 : 19,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:16:10]	 COM4 Close [OK]
[08-09 09:16:10]	 COM4 : 38,400bps, 8, 1, N - ComPort Open [OK]
[08-09 09:16:11]	 COM4 Close [OK]
[08-09 09:16:11]	 COM4 : 57,600bps, 8, 1, N - ComPort Open [OK]
[08-09 09:16:11]	 COM4 Close [OK]
[08-09 09:16:11]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:16:12]	 COM4 Close [OK]
[08-09 09:16:12]	 COM4 : 230,400bps, 8, 1, N - ComPort Open [OK]
[08-09 09:16:12]	 COM4 Close [OK]
[08-09 09:16:12]	 COM4 : 460,800bps, 8, 1, N - ComPort Open [OK]
[08-09 09:16:13]	 COM4 Close [OK]
[08-09 09:16:13]	 COM4 : 921600bps, 8, 1, N - ComPort Open [OK]
[08-09 09:16:14]	 COM4 Close [OK]
[08-09 09:16:23]	 COM4 Close [OK]
[08-09 09:16:23]	 COM4 : 9,600bps, 8, 1, N - ComPort Open [OK]
[08-09 09:16:24]	 COM4 Close [OK]
[08-09 09:16:24]	 COM4 : 19,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:16:24]	 COM4 Close [OK]
[08-09 09:16:24]	 COM4 : 38,400bps, 8, 1, N - ComPort Open [OK]
[08-09 09:16:25]	 COM4 Close [OK]
[08-09 09:16:25]	 COM4 : 57,600bps, 8, 1, N - ComPort Open [OK]
[08-09 09:16:25]	 COM4 Close [OK]
[08-09 09:16:25]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:16:25]	 COM4 : 115200bps ComPort Search [Success]
[08-09 09:16:26]	 COM4 Close [OK]
[08-09 09:22:25]	 COM4 Close [OK]
[08-09 09:22:27]	 COM4 Close [OK]
[08-09 09:22:27]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:22:29]	 COM4 Close [OK]
[08-09 09:22:29]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:22:29]	 DABIT Connecting... [OK] 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
                	 Receive : 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
[08-09 09:22:29]	 COM4 Close [OK]
[08-09 09:30:22]	 COM4 Close [OK]
[08-09 09:30:22]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [FAIL]
[08-09 09:30:27]	 COM4 Close [OK]
[08-09 09:30:29]	 COM4 Close [OK]
[08-09 09:30:29]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [FAIL]
[08-09 09:30:40]	 COM4 Close [OK]
[08-09 09:30:40]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:30:42]	 COM4 Close [OK]
[08-09 09:30:42]	 COM4 : 115,200bps, 8, 1, N - ComPort Open [OK]
[08-09 09:30:42]	 DABIT Connecting... [OK] 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
                	 Receive : 10 02 00 00 0B 6A 30 31 32 33 34 35 36 37 38 39 10 03 
[08-09 09:30:42]	 COM4 Close [OK]
[08-09 09:30:48]	 COM4 Close [OK]
